City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
380,Zapresic,HR,45.8564,15.8078,60.93,74,100,2.33,overcast clouds
381,Srandakan,ID,-7.9386,110.2506,78.24,86,100,1.86,heavy intensity rain
382,Ancud,CL,-41.8697,-73.8203,53.92,92,100,2.39,light rain
383,Fare,PF,-16.7,-151.0167,77.86,78,16,6.8,light rain
384,Cartagena,CO,10.3997,-75.5144,76.62,94,40,1.14,scattered clouds
385,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,83,97,4.47,overcast clouds
386,Mayumba,GA,-3.432,10.6554,80.01,77,94,6.58,light rain
387,Constitucion,CL,-35.3333,-72.4167,58.66,73,34,12.39,scattered clouds
388,Sumbe,AO,-11.2061,13.8437,79.12,67,100,11.48,overcast clouds
389,Sao Pedro Do Sul,BR,-29.6206,-54.1789,63.25,93,100,4.7,overcast clouds
390,Treinta Y Tres,UY,-33.2333,-54.3833,71.2,64,90,11.21,overcast clouds
391,Bonthe,SL,7.5264,-12.505,86.77,58,61,7.81,light rain
392,Victoria,HK,22.2855,114.1577,79.18,83,0,3.0,clear sky
393,Beaver Dam,US,43.4578,-88.8373,38.34,89,100,12.66,overcast clouds
394,Itaituba,BR,-4.2761,-55.9836,84.36,79,0,5.75,clear sky
395,Marystown,CA,47.1666,-55.1483,42.85,100,99,13.94,overcast clouds
396,Pierre,US,44.3683,-100.351,18.05,80,20,19.57,few clouds
397,Wainwright,CA,52.839,-110.8572,-14.71,100,12,2.86,few clouds
398,Dodoma,TZ,-6.1722,35.7395,89.44,24,26,10.45,scattered clouds
399,Korem,ET,12.5058,39.5228,63.55,40,19,10.07,few clouds
400,Dossor,KZ,47.5272,52.9811,45.28,70,0,5.75,clear sky
401,Normandin,CA,48.8333,-72.5321,35.91,93,100,8.05,light rain
402,Menongue,AO,-14.6585,17.691,87.53,22,99,4.05,overcast clouds
403,Anadyr,RU,64.75,177.4833,0.1,85,59,8.95,fog
404,Zhangye,CN,38.9342,100.4517,37.44,47,100,1.83,overcast clouds
405,Pulandian,CN,39.3953,121.9669,58.28,83,100,10.38,overcast clouds
406,Carroll,US,39.5501,-77.0164,61.2,89,100,4.61,overcast clouds
407,Laredo,US,27.5064,-99.5075,73.69,88,100,9.22,overcast clouds
